theta,cp
1.3190220279645786, 1.1137188864803378
4.438002712094637, 1.103686273009405
7.46305227901226, 1.0835522824385402
10.088447634188547, 1.0573533397899766
12.4926991585045, 1.0293005297036038
14.455625711905803, 0.9991861860198452
15.792970884629732, 0.9770806575681951
16.850662909935913, 0.9553768779846747
18.082252023284546, 0.932488011810784
19.240875021488343, 0.9085250054059157
20.482234333503847, 0.8867181789525621
21.29977368438289, 0.867783385622244
22.396439595363425, 0.8455560517323296
23.15560005284093, 0.8240589756855616
25.167472985649233, 0.7807679407877106
26.52362594565458, 0.74249783573021
27.49050800189743, 0.7159182352388046
28.602707196314476, 0.6878309410252663
29.510259565171516, 0.6566725751041592
30.855459518066446, 0.6238915778878251
31.8215851743903, 0.5960185335349514
32.902386039235274, 0.5574692624199014
34.3167455473528, 0.5218573546341644
35.23721215402143, 0.4911677520374975
36.5060452985284, 0.451497429144434
37.44669629070422, 0.42068770909853714
38.84070803029751, 0.3797082004696297
40.29364088643097, 0.3349079082673747
41.23825176967603, 0.2971512239735614
42.39268329290321, 0.26602079535867906
43.896674894100634, 0.22526272804915437
45.151411324708256, 0.1855941672453283
46.30435150203244, 0.14930937046969062
47.242942519887684, 0.12018542766884743
48.46555651237727, 0.07934493815936983
49.903950772665276, 0.031186623251833634
50.91133460638844, -0.0013953544148816999
52.13894542258529, -0.03369127538496186
53.289639321362166, -0.07381720847647566
54.587438212667216, -0.11239360434483325
55.87318387879785, -0.1473622652614326
57.224736337880394, -0.1826919352302765
58.20147491084044, -0.21103668380189666
59.71653395524205, -0.2517961345418216
60.477551030702536, -0.27011839383771274
61.33763650889005, -0.301976392803736
62.53225175468071, -0.32884578083503824
63.83567162983031, -0.3552061276626035
65.36202789604803, -0.3818556624302558
66.88239173321273, -0.4161480842119847
68.3180387794508, -0.444785385144848
70.36733245087467, -0.47773279034335925
72.11220953672063, -0.5044096402134648
73.85628438022823, -0.5324583244820975
76.04147790376351, -0.5587982325701091
78.88869326548524, -0.5819870473592479
81.12768516022828, -0.5915921573486949
83.93792631863735, -0.6027464431358576
86.57048837203592, -0.6166903318242452
89.20833758446423, -0.6215931785718634
91.98455449924467, -0.615668504297322
94.365976498733, -0.6074993851722579
97.58741499007135, -0.5928499816503419
100.23573155491391, -0.5798536557695586
102.77906897948489, -0.5582206180865188
105.54222080475557, -0.537007038540372
108.24027639457395, -0.5142173966175714
110.85054375137048, -0.49102479982883773
113.50436140653295, -0.46862160950101095
116.2911220777599, -0.4446671117029697
119.6974430462665, -0.4149103388900053
122.34782251997902, -0.39838643884158054
124.7806797139585, -0.3775235538033279
127.69708274705795, -0.3576618672032985
130.43607561734032, -0.34012989235375035
133.26308593274123, -0.3226089196848425
136.0441621439709, -0.3083748484820794
138.6924787088135, -0.29537852260129593
141.17982289262827, -0.28885776589709034
144.29662278738147, -0.27036506491667245
147.9581485043125, -0.25577067229795536
151.62022433027553, -0.24023559323453414
154.26561967022388, -0.2322345619228614
156.7938684352386, -0.22299167374765494
159.58332762285892, -0.21320991529789302
162.0684249502808, -0.20792711635891004
164.71562836917985, -0.19943843670814743
167.2291160337938, -0.19121828021830756
170.00458289362678, -0.1865761999039115
172.78126846386712, -0.17985012479289963
175.29169103135732, -0.17687128438466937
177.97759838005263, -0.17485513478242298
180.13368196731167, -0.17571261723603881
