theta,cp
0.3771341463414615, 1.0556120391705075
1.9855487804878038, 1.055146889400922
3.593963414634146, 1.049338997695853
5.2023780487804885, 1.0399207949308757
6.810792682926831, 1.0279910714285718
8.419207317073173, 1.0129219470046085
10.027621951219508, 0.9959691820276502
11.63603658536585, 0.9755630760368665
13.244451219512193, 0.953273329493088
14.852865853658535, 0.9281581221198161
16.461280487804878, 0.900060483870968
18.06969512195122, 0.8697652649769587
19.678109756097555, 0.8375864055299542
21.286524390243898, 0.8025820852534564
22.89493902439024, 0.7664789746543783
24.43024390243903, 0.7286334965437791
25.965548780487808, 0.6908194124423965
27.184044715447158, 0.652544882872504
28.58889885222382, 0.6140333593114666
30.059695121951222, 0.5721335344409413
31.465027100271016, 0.5330209133384538
32.71744978479197, 0.49479152548116034
34.00762195121952, 0.4585822292626729
35.323597560975614, 0.41915658602150563
36.63957317073171, 0.37944316436251935
37.92974533715926, 0.3406100060992141
39.15110832137732, 0.30170913526701026
40.503945993031365, 0.2631724613232389
41.70338575096278, 0.23450432153973644
43.01636856368563, 0.18519273233486944
44.2687912482066, 0.14519153225806436
45.55896341463415, 0.10595774129544244
46.8491355810617, 0.06789763486039568
48.07049856527976, 0.030012452561669622
49.360670731707316, -0.006851398489503335
50.676646341463425, -0.04474222350230406
52.0200381097561, -0.08164980558755763
53.444372822299655, -0.11726238479262685
54.779393830703015, -0.14829707689527405
56.42490091463415, -0.18757112790932906
57.695182926829276, -0.221019585253456
59.30359756097562, -0.2574366359447007
60.91201219512196, -0.2919700460829495
62.58135162601626, -0.3208656153993861
64.12884146341464, -0.3549150345622123
65.73725609756099, -0.3765754059688393
67.40659552845528, -0.4086740051363287
68.90021501925547, -0.42926963451976796
70.59328305519898, -0.44246209441614814
72.2623018292683, -0.46389148905529964
73.77932926829268, -0.4749273553507427
75.448668699187, -0.4852830181131593
78.51318597560976, -0.4953216805875571
80.21298780487805, -0.494298675115207
81.93512872628727, -0.4951614823348689
83.42981707317074, -0.4917372197534924
84.91290069686411, -0.49169007159315425
86.062256097561, -0.48476814516128997
87.1776540436457, -0.47367614601018637
88.76195528455287, -0.4630473310291854
90.27776422764228, -0.45007236463133626
91.79914343786297, -0.44213199010723203
93.32400406504067, -0.43036530337941636
94.66119337979097, -0.4191265841013818
95.71225609756098, -0.40342922747055665
97.45714227642276, -0.3899554531490015
99.03031425891183, -0.3714756513647641
100.40041920731707, -0.35708012312787973
102.08905149051492, -0.34406481125903143
103.86805555555557, -0.325141993087557
105.49921544715451, -0.3114585436325066
106.83468699186992, -0.30028177803379386
108.46584688346883, -0.2860808691756267
110.28033697047496, -0.2732873514431233
111.93287398373988, -0.261949692780338
113.42106368563682, -0.2556560917676509
114.88790069686411, -0.244037587385185
116.71399550706033, -0.23066585314091625
118.36653252032525, -0.22092400153609848
119.70200406504065, -0.21555597158218065
121.44689024390246, -0.21082733294930778
123.05530487804879, -0.20334317396313262
124.66371951219514, -0.20007226862519145
126.20946864111497, -0.19377293003895035
127.93903658536587, -0.18972690252176072
131.0291422764228, -0.18318473982334815
132.59206639566398, -0.18209885432667638
134.40655648267008, -0.17822959616783818
136.0479529616725, -0.17439927583936754
137.3945650406504, -0.17411971966205808
139.08258807588078, -0.17231438812083955
140.87688307030132, -0.16891747424776282
142.38369664634143, -0.16617511520737294
143.83567790530847, -0.16551491766061188
145.63890853658535, -0.16143252368151506
147.3179959349594, -0.16039268913210414
148.78993902439026, -0.15798189437065124
150.4907028241335, -0.15420575127334368
152.14384908536587, -0.15244568652393742
153.61518292682928, -0.15138767281106036
155.22359756097563, -0.14827825780849846
156.83201219512196, -0.14341924683179608
158.44042682926832, -0.14272465437787885
160.04884146341465, -0.14348177483358882
161.657256097561, -0.14654809907834032
163.23085656213706, -0.14709567698046877
165.0111661585366, -0.1480450748847919
166.4142642276423, -0.15045282258064496
167.97718834688348, -0.15639064900153565
169.8130555555556, -0.16061139912954392
171.433074912892, -0.1610400551349569
172.83391006097563, -0.16441631264400902
174.52457317073174, -0.16963421658986144
176.13298780487807, -0.17494887672811066
177.64017354596626, -0.1818132975895077
179.38933689024392, -0.18749806987647277
