theta,cf
0.3867689357622268, 0.0017999401018268801
2.246979865771813, 0.0019196366177498536
4.002684563758386, 0.002986023759608658
5.758389261744966, 0.0044332634521314085
7.5140939597315395, 0.00671837875611464
9.379530201342284, 0.009079664570230628
11.0255033557047, 0.011669461914744939
12.781208053691273, 0.015935010482180323
14.536912751677853, 0.021152690426275322
16.35912141549725, 0.026675052410901456
17.981818181818184, 0.03286563750714694
19.43825503355704, 0.03975733752620547
20.681879194630866, 0.046784067085953895
21.881610738255034, 0.052176939203354256
23.022818791946307, 0.058095387840670865
24.339597315436237, 0.06316072676450035
25.363758389261747, 0.06974947589098535
26.739060402684558, 0.07658197064989519
27.851006711409397, 0.08224905660377357
29.094630872483222, 0.08820178197064987
30.38702460850112, 0.09569230530320677
31.613231064237766, 0.10201856843366278
32.67919463087247, 0.10836792452830188
33.8287631831256, 0.11461934710991314
34.748418024928085, 0.12029949086552857
35.87708533077661, 0.12643665768194068
36.79674017257909, 0.13231266846361184
37.94630872483221, 0.13858857442348005
39.095877277085336, 0.14484815813117696
40.01553211888782, 0.1502671458520515
41.18135719612229, 0.15533550741517196
42.35182699478001, 0.16119217330538083
43.52229679343772, 0.16703191241556017
44.676510067114094, 0.1733794549266247
45.8469798657718, 0.1781781970649895
47.066219239373595, 0.18422105753552293
48.464280387770316, 0.1896799440950384
49.943624161073814, 0.1956022012578616
51.34400767018215, 0.20093141659179392
53.01610738255033, 0.20592965292336357
54.93437733035047, 0.20992098765432093
56.6738255033557, 0.21260726764500346
58.429530201342274, 0.21405450733752618
60.18523489932885, 0.21435918937805726
61.94093959731542, 0.21283577917540178
62.96510067114093, 0.21182704402515717
64.42818791946308, 0.20989051945026785
66.01530201342281, 0.20617190775681335
67.31812080536912, 0.20288679245283014
68.52483221476508, 0.19805870020964356
69.98791946308724, 0.19321425576519913
71.30469798657717, 0.18669025157232702
72.52393736017896, 0.180590263219194
73.88948545861295, 0.1746489634288376
75.10872483221475, 0.16789517819706495
76.13288590604026, 0.16195387840670858
77.19362416107381, 0.1577264150943396
78.0714765100671, 0.152356394129979
78.94932885906039, 0.14689989517819704
79.76970278044102, 0.14155759209344113
80.70503355704697, 0.13596069182389936
81.5254074784276, 0.12943995208146147
82.4450623202301, 0.12402096436058699
83.32291466922338, 0.11712644504342615
84.32617449664427, 0.11046261355695317
85.20402684563756, 0.1041404612159329
86.20728667305848, 0.09784007187780769
87.58389261744965, 0.09088050314465407
88.71543624161073, 0.08334591194968555
89.59328859060402, 0.07786163522012579
90.61744966442951, 0.07146331236897274
91.64161073825501, 0.0650649895178197
92.41006711409393, 0.06113347309573719
93.0953020134228, 0.05624668064290711
93.83624161073824, 0.051011530398322846
95.00671140939595, 0.04495597484276731
96.15627996164908, 0.04045103324348609
97.32674976030681, 0.03483617849655585
98.5390220517737, 0.028437855645402854
100.02684563758389, 0.023731283484742627
101.15167785234898, 0.019134171907756847
102.90738255033556, 0.013878406708595414
104.66308724832213, 0.009384346610761707
106.4187919463087, 0.005194968553459134
108.17449664429527, 0.0017672955974842863
109.93020134228188, -0.0008225017470300244
111.1884563758389, -0.0030771488469601427
112.91140939597314, -0.004119636617749889
114.61208053691273, -0.005468902865129299
116.3677852348993, -0.0060020964360587015
118.06078619367209, -0.006361185983827511
119.91577181208051, -0.006916142557651994
121.78120805369126, -0.0073731656184486405
123.3241000610128, -0.007144654088050317
125.1463087248322, -0.006245842068483554
126.90201342281877, -0.006154437456324269
128.65771812080533, -0.005773584905660378
130.4134228187919, -0.005545073375262055
132.16912751677853, -0.005164220824598165
133.9248322147651, -0.0046310272536687624
135.68053691275168, -0.004402515723270439
137.43624161073825, -0.004021663172606549
139.19194630872482, -0.0035646401118099025
140.9476510067114, -0.0034884696016771466
142.70335570469797, -0.00265059399021661
144.45906040268454, -0.002574423480083854
146.21476510067112, -0.002269741439552775
147.9704697986577, -0.0017365478686233171
149.72617449664426, -0.0016603773584905612
151.48187919463084, -0.001508036338224994
153.2375838926174, -0.0015842068483578053
154.99328859060398, -0.0012033542976939149
156.74899328859055, -0.0012033542976939149
158.50469798657718, -0.0012033542976939149
160.26040268456376, -0.0012033542976939149
162.01610738255033, -0.0013176100628930487
163.7718120805369, -0.002269741439552775
165.52751677852348, -0.0021478686233402655
167.28322147651005, -0.002498252969951098
169.03892617449662, -0.0016679944095038812
170.7946308724832, -0.0013556953179594822
172.55033557046977, -0.0012033542976939149
174.30604026845634, -0.0007463312368972685
176.06174496644292, -0.0002893081761006222
177.8174496644295, 0.00024388539482878002
179.57315436241606, 0.0008532494758909936
